"http://research.gene.com/nar/","#","","","accession","Symbol","BMDM  expression","Pfam"
"ORF","1.0","NR0000159","","","","",""
"ORF","2.0","NR0000175","","","","",""
"ORF","3.0","NR0000157","","","","",""
"ORF","4.0","NR0000171","","","","",""
"ORF","5.0","NR0000173","","","","",""
"ORF","6.0","NR0000182","","","","",""
"ORF","7.0","NR0000174","","","","",""
"ORF","8.0","NR0000183","","","","",""
"ORF","9.0","NR0000158","","","","",""
"ORF","10.0","NR0000170","","","","",""
"ORF","11.0","NR0000172","","","","",""
"ORF","12.0","NR0000172","","","","",""
"ORF","13.0","NR0000181","","","","",""
"ORF","14.0","NR0000177","","","","",""
"ORF","15.0","NR0000176","","","","",""
"ORF","16.0","NR0000153","","","","",""
"ORF","17.0","NR0000179","","","","",""
"ORF","18.0","NR0000180","","","","",""
"ORF","19.0","NR0000161","","","","",""
"ORF","20.0","NR0000178","","","","",""
"ORF","21.0","NR0000184","","","","",""
"ORF","22.0","NR0000185","","","","",""
"ORF","23.0","NR0000168","","","","",""
"ORF","24.0","NR0000167","","","","",""
"ORF","25.0","NR0000151","","","","",""
"ORF","26.0","NR0000163","","","","",""
"ORF","27.0","NR0000164","","","","",""
"ORF","28.0","NP0000846","","","","",""
"ORF","29.0","NR0000162","","","","",""
"ORF","30.0","NR0000152","","","","",""
"ORF","31.0","NR0004258","","","","",""
"ORF","32.0","NR0004257","","","","",""
"ORF","33.0","NR0000197","","","","",""
"ORF","34.0","NR0004254","","","","",""
"ORF","35.0","NR0004255","","","","",""
"ORF","36.0","NR0000188","","","","",""
"ORF","37.0","NR0004259","","","","",""
"ORF","38.0","NR0000189","","","","",""
"ORF","39.0","NR0000191","","","","",""
"ORF","40.0","NR0000190","","","","",""
"ORF","41.0","NP0000851","","","","",""
"ORF","42.0","NP0000850","","","","",""
"ORF","43.0","NP0000849","","","","",""
"ORF","44.0","NP0000848","","","","",""
"ORF","45.0","NP0000847","","","","",""
"ORF","46.0","NR0000154","","","","",""
"ORF","47.0","NR0000156","","","","",""
"ORF","48.0","NR0000165","","","","",""
"ORF","49.0","NR0000166","","","","",""
"ORF","50.0","NR0000160","","","","",""
"ORF","51.0","NR0004251","","","","",""
"ORF","52.0","NR0004248","","","","",""
"ORF","53.0","NR0004252","","","","",""
"ORF","54.0","NR0004250","","","","",""
"ORF","55.0","NR0004253","","","","",""
"ORF","56.0","NR0004256","","","","",""
"ORF","57.0","NR0004265","","","","",""
"ORF","58.0","NR0004261","","","","",""
"ORF","59.0","NR0004260","","","","",""
"ORF","60.0","NR0004249","","","","",""
"ORF","61.0","NP0000896","","","","",""
"ORF","62.0","NP0000895","","","","",""
"ORF","63.0","NP0000906","","","","",""
"ORF","64.0","NP0000904","","","","",""
"ORF","65.0","NP0000903","","","","",""
"ORF","66.0","NR0000196","","","","",""
"ORF","67.0","NP0000891","","","","",""
"ORF","68.0","NP0000893","","","","",""
"ORF","69.0","NP0000892","","","","",""
"ORF","70.0","NP0000894","","","","",""
"ORF","71.0","NP0000905","","","","",""
"ORF","72.0","NP0000897","","","","",""
"ORF","73.0","NP0000900","","","","",""
"ORF","74.0","NP0000898","","","","",""
"ORF","75.0","NP0000899","","","","",""
"ORF","76.0","NP0000909","","","","",""
"ORF","77.0","NP0000908","","","","",""
"ORF","78.0","NP0000902","","","","",""
"ORF","79.0","NP0000901","","","","",""
"ORF","80.0","NP0000907","","","","",""
"ORF","81.0","NP0000959","","","","",""
"ORF","82.0","NP0000958"," 4-6","","","",""
"ORF","83.0","NP0000957","","","","",""
"ORF","84.0","NP0000956","","","","",""
"ORF","85.0","NP0000955","","","","",""
"ORF","86.0","NP0000960"," 11-7","","","",""
"ORF","87.0","NP0000961","","","","",""
"ORF","88.0","NP0000968","","","","",""
"ORF","89.0","NP0000969","","","","",""
"ORF","90.0","NP0000970","","","","",""
"ORF","91.0","NP0000942","","","","",""
"ORF","92.0","NP0000963","","","","",""
"ORF","93.0","NP0000964","","","","",""
"ORF","94.0","NP0000966","","","","",""
"ORF","95.0","NP0000967","","","","",""
"ORF","96.0","NP0000962","","","","",""
"ORF","97.0","NP0000945","","","","",""
"ORF","98.0","NP0000944","","","","",""
"ORF","99.0","NP0000941","","","","",""
"ORF","100.0","NP0000943","","","","",""
"ORF","101.0","NR0000290","","","","",""
"ORF","102.0","NR0000289","","","","",""
"ORF","103.0","NR0000287","","","","",""
"ORF","104.0","NR0000288","","","","",""
"ORF","105.0","NR0000282","","","","",""
"ORF","106.0","NR0000286","","","","",""
"ORF","107.0","NR0000283","","","","",""
"ORF","108.0","NR0000285","","","","",""
"ORF","109.0","NR0000284","","","","",""
"ORF","110.0","NR0000281","","","","",""
"ORF","111.0","NR0000291","","","","",""
"ORF","112.0","NR0000292","","","","",""
"ORF","113.0","NR0000293","","","","",""
"ORF","114.0","NR0000294","","","","",""
"ORF","115.0","NR0000295","","","","",""
"ORF","116.0","NR0000296","","","","",""
"ORF","117.0","NR0000297","","","","",""
"ORF","118.0","NR0000298","","","","",""
"ORF","119.0","NR0000299","","","","",""
"ORF","120.0","NR0000300","","","","",""
"ORF","121.0","NR0004367","","","","",""
"ORF","122.0","NR0004373","","","","",""
"ORF","123.0","NR0004375","","","","",""
"ORF","124.0","NR0004376","","","","",""
"ORF","125.0","NR0004377","","","","",""
"ORF","126.0","NR0004378","","","","",""
"ORF","127.0","NR0004379","","","","",""
"ORF","128.0","NP0000965","","","","",""
"ORF","129.0","NR0000301","","","","",""
"ORF","130.0","NR0000195","","","","",""
"ORF","131.0","NR0004363","","","","",""
"ORF","132.0","NR0004364","","","","",""
"ORF","133.0","NR0004365","","","","",""
"ORF","134.0","NR0004366","","","","",""
"ORF","135.0","NR0004368","","","","",""
"ORF","136.0","NR0004369","","","","",""
"ORF","137.0","NR0004370","","","","",""
"ORF","138.0","NR0004371","","","","",""
"ORF","139.0","NR0004372","","","","",""
"ORF","140.0","NR0004374","","","","",""
"ORF","141.0","NR0001945","","","","",""
"ORF","142.0","NR0001946","","","","",""
"ORF","143.0","NR0001948","","","","",""
"ORF","144.0","NR0001949","","","","",""
"ORF","145.0","NR0001950","","","","",""
"ORF","146.0","NR0001951","","","","",""
"ORF","147.0","NR0001952","","","","",""
"ORF","148.0","NR0001953","","","","",""
"ORF","149.0","NR0001955","","","","",""
"ORF","150.0","NR0001956","","","","",""
"ORF","151.0","NP0011034","","","","",""
"ORF","152.0","NP0011035","","","","",""
"ORF","153.0","NP0011036","","","","",""
"ORF","154.0","NR0001976","","","","",""
"ORF","155.0","NR0001977","","","","",""
"ORF","156.0","NR0001978","","","","",""
"ORF","157.0","NR0001979","","","","",""
"ORF","158.0","NR0001981","","","","",""
"ORF","159.0","NR0001983","","","","",""
"ORF","160.0","NR0001984","","","","",""
"ORF","161.0","NP0011041","","","","",""
"ORF","162.0","NP0011039","","","","",""
"ORF","163.0","NP0011040","","","","",""
"ORF","164.0","NP0011038","","","","",""
"ORF","165.0","NP0011037","","","","",""
"ORF","166.0","NR0001985","","","","",""
"ORF","167.0","NR0001986","","","","",""
"ORF","168.0","NR0001987","","","","",""
"ORF","169.0","NR0001988","","","","",""
"ORF","170.0","NR0001989","","","","",""
"ORF","171.0","NR0000193","","","","",""
"ORF","172.0","NR0000194","","","","",""
"ORF","173.0","NR0000187","","","","",""
"ORF","174.0","NR0000186","","","","",""
"ORF","175.0","NR0000192","","","","",""
"ORF","176.0","NR0001980","","","","",""
