"GeneID","Symbol","Name","Control","LPS0111B5","LPSO55","induction score","PSORT","PROTCOMP","Symbol","","IFN/kB","Domain","","tag","annotation","Priority","","Domain"
"GeneID:19983","","","0.92","0.82","0.8","0.8913043478260869","nucl","cyto","","","","","","","","","","Ribosomal_L18p,Baculo_E56"
"GeneID:70559","","","6.98","0.94","0.86","0.13467048710601717","extr","nucl","","","","","","","","","","SH3_1"
"GeneID:381629","0610007C21Rik","RIKEN cDNA 0610007C21 gene","65.25","36.52","37.05","0.5596934865900384","extr","plas","0610007C21Rik","","","LRR","","","","4.0","","EGF_2,LRR_4,EGF_CA,EGF_CA"
"GeneID:71667","0610007L01Rik","RIKEN cDNA 0610007L01 gene","40.15","42.72","41.69","1.0640099626400996","plas","plas","0610007L01Rik","","","","","","","","",""
"GeneID:76251","0610007P08Rik","RIKEN cDNA 0610007P08 gene","4.21","2.23","2.27","0.5296912114014252","nucl","plas,nucl","0610007P08Rik","","","","","","","","","SNF2_N,Helicase_C,Helicase_C,DEAD,HDA2-3,ResIII,DTW,DTW,SEC-C"
"GeneID:58520","0610007P14Rik","RIKEN cDNA 0610007P14 gene","32.39","19.69","21.63","0.6079036739734486","plas","E.R.","0610007P14Rik","","","","","","","","","Erg28"
"GeneID:68327","0610007P22Rik","RIKEN cDNA 0610007P22 gene","7.96","4.43","4.29","0.5565326633165829","nucl","plas","0610007P22Rik","","","","","","","","","DUF367,RLI"
"GeneID:66050","0610009B22Rik","RIKEN cDNA 0610009B22 gene","33.57","11.71","12.31","0.3488233541852845","cyto","pero","0610009B22Rik","","","","","","","","","Sedlin_N,Sybindin,Pex14_N,Pex14_N"
"GeneID:66055","0610009D07Rik","RIKEN cDNA 0610009D07 gene","79.33","73.41","76.31","0.9253750157569646","nucl","nucl","0610009D07Rik","","","","","","","","","RRM_1,RRM_1,DUF3791,DUF3791,DUF3791"
"GeneID:66839","0610009O20Rik","RIKEN cDNA 0610009O20 gene","12.11","4.39","4.25","0.3625103220478943","mito","nucl","0610009O20Rik","","","","","","","","","Sel1,Sel1,Sel1,Sel1,Sel1,TPR_2,TPR_2,TPR_1,TPR_1"
"GeneID:71675","0610010F05Rik","RIKEN cDNA 0610010F05 gene","12.17","9.93","10.81","0.8159408381265406","extr","nucl","0610010F05Rik","","","","","","","","","DUF3342,CHORD,BTB"
"GeneID:104457","0610010K14Rik","RIKEN cDNA 0610010K14 gene","21.43","11.23","11.35","0.5240317312179188","nucl","nucl","0610010K14Rik","","","","","","","","","Myb_DNA-binding"
"GeneID:66060","0610010O12Rik","RIKEN cDNA 0610010O12 gene","2.37","1.32","1.83","0.5569620253164557","plas","extr","0610010O12Rik","","","","","","","","","CYSTM,CYSTM"
"GeneID:68347","0610011F06Rik","RIKEN cDNA 0610011F06 gene","7.32","4.54","4.28","0.6202185792349727","extr","cyto","0610011F06Rik","","","","","","","","","DUF938,Methyltransf_18,MTS,Methyltransf_4,Methyltransf_12,PCMT,Methyltransf_11"
"GeneID:68295","0610011L14Rik","RIKEN cDNA 0610011L14 gene","21.44","19.03","20.28","0.8875932835820896","cyto","E.R.","0610011L14Rik","","","","","","","","","AAR2"
"GeneID:68364","0610030E20Rik","RIKEN cDNA 0610030E20 gene","9.12","5.32","4.36","0.5833333333333334","nucl","cyto","0610030E20Rik","","","","","","","","","UPF0561"
